epoch,train_loss,test_loss,train_accuracy,test_accuracy,time_seconds
35000,0.06044486520109609,3.5415821027496848,0.9953998710619723,0.07999999999999999,700.0
36000,0.06245780951638001,3.495168172116861,0.9817069492998753,0.08199999999999999,720.0
37000,0.06062709263136296,3.523742990149821,0.9908127024322021,0.08399999999999999,740.0
38000,0.06452182667445323,3.4816300348301197,0.9995170415892507,0.08600000000000001,760.0
39000,0.05645912945882492,3.427083225126208,0.9959037238953741,0.08800000000000001,780.0
40000,0.058779428414112725,3.0025350743415458,0.9815691276268453,0.15,800.0
41000,0.06925296829355851,2.81959742060937,0.996719602410244,0.185,820.0
42000,0.0581790588882854,2.5156437042671085,0.9834658864014169,0.21999999999999997,840.0
43000,0.05500485796329191,2.3214595922700063,0.9909845332941224,0.255,860.0
44000,0.06320394753435463,2.0954865280663193,0.9855986779389189,0.29,880.0
45000,0.06475793833391537,1.8111720746234352,0.991087081050228,0.32499999999999996,900.0
46000,0.0583920012485558,1.5355972678651262,0.9849546197900231,0.36,920.0
47000,0.06515692220928739,1.2616072640506917,0.9802878697725951,0.39499999999999996,940.0
48000,0.050920052840435055,1.0855460584011007,0.9808145760463793,0.42999999999999994,960.0
49000,0.06407315718760048,0.7597834160651001,0.9894834765817465,0.46499999999999997,980.0
50000,0.059832317502336654,0.5534640373982004,0.9894694354156113,0.5,1000.0
51000,0.058677032984759465,0.46231700196104436,0.9879700946879475,0.598,1020.0
52000,0.06270187301735287,0.3574922522925294,0.9809060801954409,0.696,1040.0
53000,0.06251719831428473,0.2671297968237665,0.9900627251716018,0.794,1060.0
54000,0.0631738726323789,0.15141137494800858,0.9832586885416286,0.892,1080.0
55000,0.06284838556412631,0.06171551162546927,0.9805302262108324,0.99,1100.0
56000,0.06880460482849915,0.05776339852413044,0.9915094835575176,0.99,1120.0
57000,0.06286576436884707,0.0609123357863187,0.9891650578098303,0.99,1140.0
58000,0.0688292961755305,0.06922381127647828,0.9877220527560154,0.99,1160.0
59000,0.06810701283912128,0.05138722601750331,0.9839158226957859,0.99,1180.0
60000,0.052015560027548535,0.05188885921511857,0.980364436513031,0.99,1200.0
61000,0.06366013546832713,0.05637951260587523,0.9814237729692046,0.99,1220.0
62000,0.0668975062193891,0.06628936965177872,0.9804654387147165,0.99,1240.0
63000,0.055637095495468004,0.06393474330728302,0.9823632965524332,0.99,1260.0
64000,0.06257885693559768,0.06470142087607772,0.997549440270541,0.99,1280.0
65000,0.06606961860769697,0.05354879087559446,0.9856406914514261,0.99,1300.0
66000,0.06501229503281716,0.06981010284001347,0.9961366947853453,0.99,1320.0
67000,0.05825235353822853,0.06552825921483994,0.9874403617158557,0.99,1340.0
68000,0.05681607080506036,0.06716825503686025,0.9986151465120713,0.99,1360.0
69000,0.05857988054750037,0.06509085748169365,0.9950174213558299,0.99,1380.0
70000,0.05206247737671865,0.060105047448957144,0.9980510581335913,0.99,1400.0
71000,0.06652914932215484,0.06791046456992401,0.9864009920206123,0.99,1420.0
72000,0.057784033574683265,0.06810763952838528,0.980216753029606,0.99,1440.0
73000,0.05182573353572267,0.0690012393410161,0.9863862727518082,0.99,1460.0
74000,0.06901214293875113,0.06263674424339599,0.9914687577624657,0.99,1480.0
75000,0.0589689104395664,0.05657329090739832,0.9858642154339613,0.99,1500.0
76000,0.06345036912154077,0.06583158087451697,0.9950474905887536,0.99,1520.0
77000,0.06579236285589107,0.05988840609405163,0.9818241220609738,0.99,1540.0
78000,0.05115117520033289,0.05883061002746755,0.9909905776464747,0.99,1560.0
79000,0.067754083655166,0.05234134032855212,0.9870183002510415,0.99,1580.0
80000,0.05285983364105672,0.062364361266325226,0.9952302126343494,0.99,1600.0
81000,0.05202245352245581,0.0640193826291824,0.9816821361222999,0.99,1620.0
82000,0.051455260127283874,0.06412484454312993,0.9964372011858071,0.99,1640.0
83000,0.051626975612838,0.06973279157002352,0.9816967542817038,0.99,1660.0
84000,0.057485415915122406,0.06625599134515006,0.9874128429413378,0.99,1680.0
85000,0.06894497154767718,0.06506756370517884,0.9997200212764574,0.99,1700.0
86000,0.05752519171061832,0.06554293831854874,0.9816700143339734,0.99,1720.0
87000,0.061168084994716106,0.06812708770189473,0.9884844401849395,0.99,1740.0
88000,0.05222394964612303,0.05022707289534838,0.9898525020858172,0.99,1760.0
89000,0.059373212839882526,0.052376358325361444,0.9811260655136367,0.99,1780.0
90000,0.0523505249355421,0.06492089758530847,0.9929842060423213,0.99,1800.0
91000,0.061667375301943196,0.057497411590474085,0.9992434509694909,0.99,1820.0
92000,0.055714241725637215,0.05447191677038905,0.9973719825637892,0.99,1840.0
93000,0.06926445078881223,0.06939757653415278,0.9802430894937963,0.99,1860.0
94000,0.050863198239011524,0.060554022181726,0.9978228622739614,0.99,1880.0
95000,0.06985929592238602,0.06107708568802642,0.981475931294708,0.99,1900.0
96000,0.06938605071238198,0.06258797276270525,0.990461956883403,0.99,1920.0
97000,0.06391497377969235,0.06255116160168127,0.9890908212953554,0.99,1940.0
98000,0.06168628623846201,0.05090892760682916,0.9980231602098197,0.99,1960.0
99000,0.055619263791844606,0.06780527567781833,0.9990082296815311,0.99,1980.0
100000,0.059113135055714264,0.05554762365962266,0.9924026519560307,0.99,2000.0
